Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
IGV,iShares Expanded Tech-Software Sector ETF,Financial,Exchange Traded Fund,USA,,,95.4,-0.0055000000000000005,9490165.0
IH,iHuman Inc ADR,Consumer Defensive,Education & Training Services,China,40140000.0,6.55,1.8,-0.0541,52834.0
IIF,Morgan Stanley India Investment Fund Inc,Financial,Closed-End Fund - Foreign,USA,225830000.0,16.06,23.61,-0.0046,60835.0
IINN,Inspira Technologies Oxy B.H.N. Ltd,Healthcare,Medical Devices,Israel,27950000.0,,0.78,-0.045700000000000005,600619.0
INCO,Columbia India Consumer ETF,Financial,Exchange Traded Fund,USA,,,61.44,-0.0046,28382.0
IND,Xtrackers Nifty 500 India ETF,Financial,Exchange Traded Fund,USA,,,23.66,-0.006999999999999999,535.0
INDA,iShares MSCI India ETF,Financial,Exchange Traded Fund,USA,,,51.55,-0.0034999999999999996,10137391.0
INDL,Direxion Daily MSCI India Bull 2X Shares,Financial,Exchange Traded Fund,USA,,,51.47,-0.0098,38138.0
INDY,iShares India 50 ETF,Financial,Exchange Traded Fund,USA,,,46.96,-0.003,121210.0
INHD,Inno Holdings Inc,Basic Materials,Steel,Hong Kong,9630000.0,,1.36,-0.0748,253327.0
INLF,INLIF Ltd,Industrials,Specialty Industrial Machinery,China,2790000.0,,0.44,-0.056799999999999996,199191.0
INQQ,INQQ The India Internet ETF,Financial,Exchange Traded Fund,USA,,,13.84,0.0,50235.0
INTJ,Intelligent Group Ltd,Industrials,Consulting Services,Hong Kong,12610000.0,,0.41,-0.006999999999999999,110387.0
INTU,Intuit Inc,Technology,Software - Application,USA,146070000000.0,35.95,524.92,-0.0076,2639010.0
IOBT,IO Biotech Inc,Healthcare,Biotechnology,Denmark,14940000.0,,0.21,-0.5974,32428806.0
IPST,Heritage Distilling Holding Co. Inc,Financial,Capital Markets,USA,14630000.0,,1.53,-0.0556,36479.0
IPW,iPower Inc,Consumer Cyclical,Internet Retail,USA,5620000.0,,4.9,-0.0040999999999999995,125245.0
IZEA,IZEA Worldwide Inc,Communication Services,Internet Content & Information,USA,67130000.0,,3.92,-0.0297,91780.0
JBDI,JBDI Holdings Ltd,Consumer Cyclical,Specialty Retail,USA,,,0.57,-0.076,20342.0
JDST,Direxion Daily Junior Gold Miners Index Bear -2X Shares,Financial,Exchange Traded Fund,USA,,,1.85,0.0278,53560881.0
JL,J-Long Group Ltd,Consumer Cyclical,Apparel Manufacturing,Hong Kong,13500000.0,40.47,3.59,-0.2688,644447.0
JPMO,YieldMax JPM Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,,,14.8,0.0007000000000000001,44869.0
JTAI,Jet.AI Inc,Technology,Software - Application,USA,5410000.0,,0.35,-0.1514,11076676.0
JZ,Jianzhi Education Technology Group Co Ltd ADR,Technology,Information Technology Services,China,2710000.0,,0.96,0.0126,3807.0
JZXN,Jiuzi Holdings Inc,Consumer Cyclical,Auto & Truck Dealerships,China,2630000.0,,1.89,0.010700000000000001,49352.0
KPDD,KraneShares 2x Long PDD Daily ETF,Financial,Exchange Traded Fund,USA,,,9.88,0.0292,191748.0
LGHL,Lion Group Holding Ltd ADR,Financial,Capital Markets,China,310000.0,,1.49,-0.20739999999999997,272680.0
LGPS,LogProstyle Inc,Industrials,Conglomerates,Japan,20150000.0,3.43,0.85,-0.0536,67947.0
LHAI,Linkhome Holdings Inc,Real Estate,Real Estate Services,USA,37170000.0,73.63,2.29,-0.0766,1599749.0
LIF,Life360 Inc,Technology,Software - Application,USA,4160000000.0,150.9,53.07,-0.0187,1126483.0
LIFT,LifeX 2028 Income Bucket ETF,Financial,Exchange Traded Fund,USA,,,28.12,0.0004,259.0
LMTS,Direxion Daily LMT Bear 1X ETF,Financial,Exchange Traded Fund,USA,,,17.86,-0.016399999999999998,309.0
LOGI,Logitech International S.A,Technology,Computer Hardware,Switzerland,13500000000.0,20.87,91.88,0.0076,1285675.0
LPSN,Liveperson Inc,Technology,Software - Application,USA,36170000.0,,3.05,0.0066,163815.0
LRHC,La Rosa Holdings Corp,Real Estate,Real Estate Services,USA,840000.0,,0.52,-0.0334,272567.0
LVWR,LiveWire Group Inc,Consumer Cyclical,Auto Manufacturers,USA,526289999.99999994,,2.58,0.075,88599.0
LZ,LegalZoom.com Inc,Industrials,Specialty Business Services,USA,1510000000.0,68.25,8.49,-0.0241,3214622.0
MA,Mastercard Incorporated,Financial,Credit Services,USA,473760000000.0,33.74,527.57,-0.0078000000000000005,4936991.0
MAAY,GraniteShares YieldBOOST MARA ETF,Financial,Exchange Traded Fund,USA,,,13.82,0.0073,26219.0
MAGO,Tuttle Capital Magnificent 7 Income Blast ETF,Financial,Exchange Traded Fund,USA,,,23.57,-0.0087,880.0
MAGY,Roundhill Magnificent Seven Covered Call ETF,Financial,Exchange Traded Fund,USA,,,50.69,0.0108,209277.0
MDCX,Medicus Pharma Ltd,Healthcare,Drug Manufacturers - General,Canada,33409999.999999996,,1.33,-0.0292,212480.0
MDXG,Mimedx Group Inc,Healthcare,Biotechnology,USA,789380000.0,19.52,5.33,-0.0111,807974.0
MEHA,Functional Brands Inc,Consumer Defensive,Packaged Foods,USA,3290000.0,,0.2,-0.0395,425496.0
MENS,Jyong Biotech Ltd,Healthcare,Biotechnology,Taiwan,242530000.0,,3.19,-0.0215,384885.0
MLCO,Melco Resorts & Entertainment Ltd ADR,Consumer Cyclical,Resorts & Casinos,Hong Kong,2350000000.0,22.91,6.02,-0.0337,9160570.0
MMYT,MakeMyTrip Ltd,Consumer Cyclical,Travel Services,India,6220000000.0,133.67,65.54,-0.1213,4963638.0
MNDY,Monday.Com Ltd,Technology,Software - Application,Israel,6450000000.0,103.69,127.13,0.0019,1905530.0
MNTN,MNTN Inc,Technology,Software - Application,USA,732240000.0,,10.0,-0.0225,544731.0
MSFL,GraniteShares 2x Long MSFT Daily ETF,Financial,Exchange Traded Fund,USA,,,22.84,-0.042699999999999995,518956.0
MSFO,YieldMax MSFT Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,,,14.11,-0.0235,170422.0
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,3300790000000.0,31.6,444.11,-0.0229,37767504.0
MSFU,Direxion Daily MSFT Bull 2X Shares,Financial,Exchange Traded Fund,USA,,,34.71,-0.0464,2878353.0
MSFW,Roundhill MSFT WeeklyPay ETF,Financial,Exchange Traded Fund,USA,,,34.92,-0.026699999999999998,11268.0
MSFX,T-Rex 2X Long Microsoft Daily Target ETF,Financial,Exchange Traded Fund,USA,,,22.84,-0.0455,65481.0
MSFY,Kurv Yield Premium Strategy Microsoft (MSFT) ETF,Financial,Exchange Traded Fund,USA,,,21.72,-0.025099999999999997,22629.0
MSTQ,LHA Market State Tactical Q ETF,Financial,Exchange Traded Fund,USA,,,34.37,0.0045000000000000005,2820.0
MTEN,Mingteng International Corporation Inc,Industrials,Metal Fabrication,China,200000.0,,0.03,-0.0575,59183265.0
MTVA,MetaVia Inc,Healthcare,Biotechnology,USA,8420000.0,,2.88,-0.04,455370.0
MUD,Direxion Daily MU Bear 1X Shares,Financial,Exchange Traded Fund,USA,,,4.14,-0.0676,21327145.0
MXCT,MaxCyte Inc,Healthcare,Medical Devices,USA,131210000.00000001,,1.23,0.0165,448882.0
NABL,N-able Inc,Technology,Information Technology Services,USA,1180000000.0,,6.31,0.008,1120254.0
NCT,Intercont (Cayman) Ltd,Industrials,Marine Shipping,Hong Kong,6560000.0,1.84,0.22,0.0075,112398.0
NET,Cloudflare Inc,Technology,Software - Infrastructure,USA,59540000000.0,,169.97,-0.042,5058701.0
NETG,Leverage Shares 2X Long NET Daily ETF,Financial,Exchange Traded Fund,USA,,,9.3,-0.0815,3498.0
NETX,Tradr 2X Long NET Daily ETF,Financial,Exchange Traded Fund,USA,,,13.92,-0.08380000000000001,6988.0
